Time S;Temperature
0.02346;5.302783741
0.02348;5.302802668
0.0235;5.302822369
0.02352;5.302842834
0.02354;5.302864054
0.02356;5.302896056
0.02358;5.302928285
0.0236;5.302960736
0.02362;5.302993403
0.02364;5.303026282
0.02366;5.303059367
0.02368;5.303102692
0.0237;5.303145706
0.02372;5.303218526
0.02374;5.303278964
0.02376;5.303337067
0.02378;5.303403398
0.0238;5.303457381
0.02382;5.303509067
0.02384;5.303579054
0.02386;5.303646774
0.02388;5.303712247
0.0239;5.303775492
0.02392;5.303836532
0.02394;5.303895385
0.02396;5.303941522
0.02398;5.303984997
0.024;5.304025824
0.02402;5.30406402
0.02404;5.304099599
0.02406;5.304143127
0.02408;5.304174036
0.0241;5.304202379
0.02412;5.304218133
0.02414;5.304231859
0.02416;5.304243567
0.02418;5.304253268
0.0242;5.304240381
0.02422;5.304236048
0.02424;5.304230234
0.02426;5.304222945
0.02428;5.304214187
0.0243;5.304203963
0.02432;5.30418224
0.02434;5.30415957
0.02436;5.304135952
0.02438;5.304111386
0.0244;5.304085873
0.02442;5.304059411
0.02444;5.304032002
0.02446;5.304003645
0.02448;5.30397434
0.0245;5.303944088
0.02452;5.303912888
0.02454;5.30388074
0.02456;5.303879297
0.02458;5.303846805
0.0246;5.303834482
0.02462;5.303832812
0.02464;5.303831772
0.02466;5.303831376
0.02468;5.30383164
0.0247;5.303832579
0.02472;5.303823657
0.02474;5.303804374
0.02476;5.303784772
0.02478;5.303754305
0.0248;5.303733564
0.02482;5.303723066
0.02484;5.303712781
0.02486;5.303682643
0.02488;5.303653754
0.0249;5.303626113
0.02492;5.303619798
0.02494;5.303624268
0.02496;5.3036295
0.02498;5.303624959
0.025;5.303631243
0.02502;5.303618252
0.02504;5.30361662
0.02506;5.303584665
0.02508;5.303553523
0.0251;5.30351315
0.02512;5.303484125
0.02514;5.303455892
0.02516;5.303428447
0.02518;5.303411823
0.0252;5.30338543
0.02522;5.303369852
0.02524;5.303354028
0.02526;5.303337445
0.02528;5.303320102
0.0253;5.303302
0.02532;5.3032731
0.02534;5.303243947
0.02536;5.303214538
0.02538;5.303184865
0.0254;5.303164965
